"feature","LDA1","LDA2","LDA3","LDA4","LDA5","LDA6","LDA7","LDA8","LDA9","LDA10","mean","sd"
"OTU_97.44941",-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,-3.41110631092714,0
"OTU_97.42356",-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,-3.41007279376813,0
"OTU_97.44594",-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,-3.37380141412091,0
"OTU_97.41422",-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,-3.06276125919663,0
"OTU_97.126",3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,3.00116869589635,0
"OTU_97.307",3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,3.01623524709278,0
"OTU_97.131",3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,3.02782413366082,0
"OTU_97.44798",3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,3.0326514950712,0
"OTU_97.420",3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,3.04097875685462,0
"OTU_97.40495",3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,3.09643596142694,0
"OTU_97.39846",3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,3.10328687047355,0
"OTU_97.40650",3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,3.1422844084849,0
"OTU_97.35359",3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,3.14257571742922,0
"OTU_97.39913",3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,3.16552982449879,0
"OTU_97.310",3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,3.17858643309284,0
"OTU_97.30058",3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,3.20089958668266,0
"OTU_97.813",3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,3.21103900438984,0
"OTU_97.99",3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,3.2500930298115,0
"OTU_97.39904",3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,3.25799724803114,0
"OTU_97.43175",3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,3.34700689079052,0
"OTU_97.39982",3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,3.36526766305642,0
"OTU_97.37368",3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,3.38628208182256,0
"OTU_97.38234",3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,3.41651268115228,0
"OTU_97.40468",3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,3.50391617383265,0
"OTU_97.214",3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,3.66666405491461,0
