"feature","LDA1","LDA2","LDA3","LDA4","LDA5","LDA6","LDA7","LDA8","LDA9","LDA10","mean","sd"
"OTU_97.40468",3.88967918272796,3.85480947474539,3.86259407517398,3.86138319833004,3.85638778703186,3.85367376603272,3.86808880453061,3.86336166146006,3.85806298030141,3.8538899509629,3.86219308812969,0.0107456716753614
"OTU_97.39982",3.75335007541582,3.71709599294717,3.72314578639495,3.72002943906747,3.71984064556178,3.71877329470403,3.73253678720877,3.71006087123934,3.72316937860607,3.72913614855993,3.72471384197053,0.0118291365782874
"OTU_97.38234",3.7207991963989,3.7463190066222,3.71491951743732,3.71270501896344,3.69588271705471,3.70960388987843,3.73313117352726,3.71698483302741,3.71558999883111,3.71364099815904,3.71795763498998,0.0135882740897227
"OTU_97.39904",3.60427076183567,3.54954045445053,3.55050934624882,3.56545046350155,3.56010732207758,3.54282485854248,3.55318902782178,3.50219686093669,3.57297630287151,3.54439306887375,3.55454584671603,0.0257900811946952
"OTU_97.214",3.59495693875173,3.60209543707396,3.63581266041067,3.62009600170025,3.6311989689884,3.61538082767754,3.6300639032875,3.61039495524446,3.63068989352781,3.65620076096521,3.62268903476275,0.0179212173069719
"OTU_97.40650",3.5300094140305,3.48609766784325,3.48785421857485,3.467680489397,3.47954237772538,3.480600135629,3.47399896443526,3.46381106956266,3.47589838852925,3.47827885384766,3.48237715795748,0.0182985195951907
"OTU_97.40495",3.43535096692255,3.40530592264614,3.40312647969027,3.42953870162219,3.41904472817696,3.431638043501,3.4203830832531,3.41040433621733,3.4155631372149,3.42566707004942,3.41960224692939,0.0110858773385144
"OTU_97.99",3.41525765113315,3.38609557468413,3.3651513347723,3.43809580962074,3.41378343476493,3.41192170403644,3.40058763230775,3.41062467130978,3.43296256029143,3.42396699778495,3.40984473707056,0.0216767850153209
"OTU_97.131",3.40672225953419,3.40501790784485,3.39648223582985,3.40435387037954,3.39816559372535,3.42377455234965,3.40968267767962,3.39631670926692,3.4253360502648,3.42030222597171,3.40861540828465,0.0110023104200725
"OTU_97.37368",3.38773589425319,3.33769228443602,3.31145977242598,3.37102879097982,3.33993999509411,3.34949846879039,3.35534351540685,3.3558992036481,3.38306190509479,3.36360110775713,3.35552609378864,0.022707190092268
"OTU_97.44798",3.37864847373819,3.38587866608293,3.32351406023399,3.47795608507819,3.3494770564879,3.3974058296855,3.41089945154231,3.34975894471704,3.37532642725077,3.36761303109817,3.3816478025915,0.0422617223687832
"OTU_97.63",3.37814224929232,3.33726855769301,3.35299153031208,3.36826585947613,3.36128445670405,3.33959823682847,3.37282342682881,3.30548857464541,3.37406500733087,3.39255783523079,3.35824857343419,0.025263681473433
"OTU_97.35359",3.3637054373108,3.26403018282335,3.31906869323485,3.29475377648547,3.34170701767849,3.29932218974375,3.31112338101306,3.27977697199196,3.30296376721777,3.32536014947091,3.31018115669704,0.0291191903338577
"OTU_97.38871",3.35569785180138,3.27178447430498,3.27299836531663,3.2930125222122,3.28742642601727,3.25174085122194,3.26906007242034,3.20043418252925,3.26884523186371,3.25047823971802,3.27214782174057,0.0390150071109138
"OTU_97.17936",3.31846100736533,3.31221458276091,3.29345603770889,3.29096882215704,3.29679753989057,3.29810066649296,3.32444060026538,3.2933011447654,3.32000375143131,3.3099843660429,3.30577285188807,0.0126361505625834
"OTU_97.43175",3.31249906290326,3.23288253239447,3.30265426491302,3.26692653719836,3.25337254725343,3.2709808460126,3.29246147188615,3.3162512093944,3.30552688917733,3.3630847682746,3.29166401294076,0.0371399599795788
"OTU_97.37799",3.30823438382115,3.24551991117213,3.25425323148739,3.28056036074269,3.2623364987417,3.25163983063915,3.26441654906933,3.23601368619517,3.27302284543822,3.26021417579124,3.26362114730982,0.020277783812716
"OTU_97.813",3.27901447932218,3.2568882102834,3.24957360988069,3.32888278469959,3.29067101694853,3.29287645846406,3.27277720966709,3.28624034672399,3.30573002197484,3.29688306784209,3.28595372058064,0.0231272001148551
"OTU_97.126",3.27599368700876,3.26222247271619,3.29628128810016,3.31394603068587,3.29503557361824,3.29365924396529,3.31816348650348,3.2731347085747,3.32053533160194,3.31141356790948,3.29603853906841,0.0203396430434601
"OTU_97.310",3.25281931054237,3.2078753866559,3.23665710676157,3.23544398548844,3.20158013506456,3.22973662069557,3.2259660685103,3.22141918340591,3.25681094653599,3.23101610186322,3.22993248455238,0.0173257943212998
"OTU_97.37857",3.24478653977508,3.11431612192686,3.230169815872,3.20003459766319,3.22456446670401,3.20423193066103,3.20071842219408,3.19007818413851,3.20066518863015,3.22186130008673,3.20314265676516,0.0355241027995182
"OTU_97.33295",3.2255387468566,3.17539912396528,3.18245043456134,3.21073179392187,3.20478039805746,3.18956895354118,3.20331464396866,3.17997433892233,3.19968537749932,3.20305627593407,3.19745000872281,0.0155230205299688
"OTU_97.32349",3.22320393543337,3.1908728731147,3.18536076663596,3.18738625651361,3.20454844590852,3.16816221896023,3.20221931309021,3.18125877695612,3.19964840065071,3.19403339251922,3.19366943797827,0.0149836802641244
"OTU_97.36199",3.22253313450688,3.24355178674082,3.22216727274156,3.23840880796493,3.22691497306409,3.22158076412245,3.2341035021341,3.21279997783989,3.23111131985734,3.24726668825976,3.23004382272318,0.0108724904581419
"OTU_97.32478",3.21249974479283,3.17062564997996,3.17602663404362,3.20163346754645,3.21718789793979,3.21735318038522,3.19021950456099,3.20331014320501,3.19132396007079,3.21134906024071,3.19915292427654,0.0166551889112279
"OTU_97.23888",3.20124019692866,3.12364125474525,3.16233866301751,3.14220488126879,3.14345456475092,3.13718001176964,3.15644200570812,3.18129015133676,3.17655460043058,3.22484729475658,3.16491936247128,0.0313448668733015
"OTU_97.30058",3.20057786997001,3.15625398785746,3.23421479761079,3.18644065236694,3.25726397660748,3.15793895246807,3.22080954084233,3.214076561391,3.20372385909435,3.24565625223984,3.20769564504483,0.0340818753909689
"OTU_97.86",3.19503793155621,3.12942207315089,3.12362116926398,3.1593261452976,3.15703377808054,3.14592419312865,3.16551367655447,3.12609453543689,3.15178758567949,3.15369056801512,3.15074516561638,0.021406594825509
"OTU_97.39913",3.13694127829734,3.11754069102542,3.09167799244656,3.12322552865455,3.12631648317121,3.13560144383654,3.13757701913472,3.13080920421528,3.12690087480499,3.14138052439562,3.12679710399822,0.0143659761384111
"OTU_97.38934",3.09146986870598,3.20878129414461,3.13720759552512,3.06582724780998,3.11625661033847,3.11306870035142,3.14816169047007,3.10800393661142,3.1765593425304,3.15924024159783,3.13245765280853,0.0423119918467092
"OTU_97.43542",3.08794317016938,3.08777628957783,3.1188597321158,3.09081052632152,3.09014336373473,3.08946952312555,3.08885461900177,3.07472554369679,3.09808818773813,3.11141876055506,3.09380897160365,0.0127224160764457
"OTU_97.11904",3.05719980508843,0,3.03105346733254,3.02656793112027,3.0450093355939,3.02012805415597,3.04754890092954,3.02440948728126,3.04616947000012,3.03798971141757,2.73360761629196,0.960564388932092
"OTU_97.210",3.05345393590568,3.07517908552684,3.06543806189671,3.06584981505394,3.04061388893583,3.055851232446,3.07750599557491,3.06271128570576,3.07442533757532,3.06672968081986,3.06377583194408,0.0113269730730169
"OTU_97.420",3.05118831720684,3.00079962308858,3.02208168007936,3.07077928437072,3.05533704043435,3.05626376104243,3.02823218270134,3.0573377535829,3.06329267855348,3.05366021541931,3.04589725364793,0.0217318681420592
"OTU_97.43214",3.04789172050274,3.00279162687635,3.01089980708878,3.03885945845607,3.03098670957661,3.02700102970936,3.02577075263456,3.0296569144682,3.04766407608238,3.04263501361816,3.03041571090132,0.0149131681594124
"OTU_97.36435",3.03639126142158,3.00768337948218,3.02201198847165,3.01792292364235,3.01990758288132,3.03137856405321,3.03306281844774,3.02389157320394,3.02648322263158,3.03536851821298,3.02541018324485,0.00900320600142979
"OTU_97.40372",3.03241085597608,3.05618206364186,3.02028789623268,3.01623746296484,3.02359587878696,3.03303290738603,3.04625789446325,3.03659485937217,3.03912197935106,3.04612885693124,3.03498506551062,0.0125958962377695
"OTU_97.21293",3.0273436775912,0,0,3.07676035626623,3.04448413398354,3.05211338877122,3.04063942319322,3.03243518899452,3.0428188524762,3.05190335720455,2.43684983784807,1.28440147920109
"OTU_97.176",3.01123996100789,3.04987312927199,3.00231700702127,3.03769759768818,3.02847045637394,3.05885171352984,3.05150551294304,3.05389371193876,3.0699176036251,3.04866664947175,3.04124333428718,0.0213915146668657
"OTU_97.42356",3.68517089714892,3.67987136662191,3.68580958287809,3.72668394519193,3.73015260368886,3.75518364719252,3.67748175751284,3.73144056244001,3.77793332111153,3.72436648961583,3.71740941734024,0.034359067886856
"OTU_97.44941",3.66763302070123,3.68249428753214,3.70028803742382,3.71850811295386,3.74992328351433,3.71341106214682,3.74588057700898,3.70212312940359,3.70432824448676,3.7356665437887,3.71202562989602,0.0265059923638074
"OTU_97.44594",3.63902824065719,3.7102888753122,3.69907076277759,3.72087676663046,3.71306048307947,3.68234269070681,3.67799160811227,3.68414778301635,3.66231011904621,3.67373586113848,3.6862853190477,0.0251827664309588
"OTU_97.43679",3.30845948595694,3.2321402205899,3.25089437046956,3.23369824985601,3.21651879816123,3.25690521998763,3.23345441933239,3.25293089061795,3.2275596599881,3.23881294216169,3.24513742571214,0.0254870823712441
"OTU_97.41422",3.29006519750485,3.40413582390361,3.32507719248112,3.37336403675981,3.39368755743409,3.36631889078718,3.39184045537309,3.37578292174637,3.45085564068734,3.40229640979865,3.37734241264761,0.0443607479162969
"OTU_97.486",3.13531320581409,3.1897782961404,3.16934816766728,3.12522468334406,3.09905522680368,3.13530913697978,3.16635946228154,3.15034801389474,3.12483491980199,3.1584463614839,3.14540174742115,0.0265796709761244
"OTU_97.42482",3.07721237928223,3.13426507154599,3.12351668189076,3.13962029871883,3.10325264121831,3.14247234498347,3.1549678957981,3.18570553936742,3.20149905290606,3.1599995601997,3.14225114659109,0.0365877530756744
"OTU_97.32318",0,0,3.06069549396114,0,3.03268761034934,3.02334072687588,0,3.00860240538603,3.00882322551283,0,1.51341494620852,1.59534384456467
"OTU_97.39846",0,0,0,3.03432264697399,0,0,0,0,0,0,0.303432264697399,0.959537072026882
