"taxon_name","features","new_names","genus","taxon_annotation"
"OTU_97.1","OTU971","OTU_97.1|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10","OTU9710","OTU_97.10|Neisseria","Neisseria","aerobic"
"OTU_97.100","OTU97100","OTU_97.100|Bacteroides","Bacteroides","anaerobic"
"OTU_97.1000","OTU971000","OTU_97.1000|Simonsiella","Simonsiella","aerobic"
"OTU_97.10003","OTU9710003","OTU_97.10003|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10005","OTU9710005","OTU_97.10005|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10006","OTU9710006","OTU_97.10006|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10007","OTU9710007","OTU_97.10007|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10008","OTU9710008","OTU_97.10008|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10009","OTU9710009","OTU_97.10009|Roseateles","Roseateles",NA
"OTU_97.10011","OTU9710011","OTU_97.10011|Abiotrophia","Abiotrophia","facultative_anaerobic"
"OTU_97.10017","OTU9710017","OTU_97.10017|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10021","OTU9710021","OTU_97.10021|Lautropia","Lautropia","aerobic"
"OTU_97.10025","OTU9710025","OTU_97.10025|Prevotella","Prevotella","anaerobic"
"OTU_97.10026","OTU9710026","OTU_97.10026|Veillonella","Veillonella","anaerobic"
"OTU_97.10032","OTU9710032","OTU_97.10032|Prevotella","Prevotella","anaerobic"
"OTU_97.10040","OTU9710040","OTU_97.10040|Prevotella","Prevotella","anaerobic"
"OTU_97.10045","OTU9710045","OTU_97.10045|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10049","OTU9710049","OTU_97.10049|Prevotella","Prevotella","anaerobic"
"OTU_97.10051","OTU9710051","OTU_97.10051|Eubacterium","Eubacterium",NA
"OTU_97.10053","OTU9710053","OTU_97.10053|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10054","OTU9710054","OTU_97.10054|Prevotella","Prevotella","anaerobic"
"OTU_97.10056","OTU9710056","OTU_97.10056|Veillonella","Veillonella","anaerobic"
"OTU_97.10059","OTU9710059","OTU_97.10059|Bacteroides","Bacteroides","anaerobic"
"OTU_97.10064","OTU9710064","OTU_97.10064|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10066","OTU9710066","OTU_97.10066|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10070","OTU9710070","OTU_97.10070|Treponema","Treponema","anaerobic"
"OTU_97.10072","OTU9710072","OTU_97.10072|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10076","OTU9710076","OTU_97.10076|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10077","OTU9710077","OTU_97.10077|Prevotella","Prevotella","anaerobic"
"OTU_97.10078","OTU9710078","OTU_97.10078|Lactobacillus","Lactobacillus","facultative_anaerobic"
"OTU_97.1008","OTU971008","OTU_97.1008|Gemella","Gemella","facultative_anaerobic"
"OTU_97.10081","OTU9710081","OTU_97.10081|NA",NA,NA
"OTU_97.10082","OTU9710082","OTU_97.10082|NA",NA,NA
"OTU_97.10087","OTU9710087","OTU_97.10087|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10088","OTU9710088","OTU_97.10088|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.1009","OTU971009","OTU_97.1009|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10090","OTU9710090","OTU_97.10090|Abiotrophia","Abiotrophia","facultative_anaerobic"
"OTU_97.10091","OTU9710091","OTU_97.10091|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10093","OTU9710093","OTU_97.10093|NA",NA,NA
"OTU_97.10094","OTU9710094","OTU_97.10094|NA",NA,NA
"OTU_97.10098","OTU9710098","OTU_97.10098|Streptococcus","Streptococcus","facultative_anaerobic"
