"taxon_name","features","new_names","most_specific_taxa","taxon_annotation","full_taxa"
"OTU_97.1","OTU971","OTU_97.1|g__Streptococcus","g__Streptococcus","facultative_anaerobic","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"
"OTU_97.10","OTU9710","OTU_97.10|g__Neisseria","g__Neisseria","aerobic","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria"
"OTU_97.100","OTU97100","OTU_97.100|g__Bacteroides","g__Bacteroides","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"
"OTU_97.1000","OTU971000","OTU_97.1000|g__Simonsiella","g__Simonsiella","aerobic","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Simonsiella"
"OTU_97.10003","OTU9710003","OTU_97.10003|g__Porphyromonas","g__Porphyromonas","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas"
"OTU_97.10005","OTU9710005","OTU_97.10005|g__Capnocytophaga","g__Capnocytophaga","facultative_anaerobic","k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga"
"OTU_97.10006","OTU9710006","OTU_97.10006|g__Actinomyces","g__Actinomyces","anaerobic","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces"
"OTU_97.10007","OTU9710007","OTU_97.10007|g__Corynebacterium","g__Corynebacterium","aerobic","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium"
"OTU_97.10008","OTU9710008","OTU_97.10008|g__Porphyromonas","g__Porphyromonas","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas"
"OTU_97.10009","OTU9710009","OTU_97.10009|g__Roseateles","g__Roseateles",NA,"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__NA|g__Roseateles"
"OTU_97.10011","OTU9710011","OTU_97.10011|g__Abiotrophia","g__Abiotrophia","facultative_anaerobic","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia"
"OTU_97.10017","OTU9710017","OTU_97.10017|g__Porphyromonas","g__Porphyromonas","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas"
"OTU_97.10021","OTU9710021","OTU_97.10021|g__Lautropia","g__Lautropia","aerobic","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia"
"OTU_97.10025","OTU9710025","OTU_97.10025|g__Prevotella","g__Prevotella","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"
"OTU_97.10026","OTU9710026","OTU_97.10026|g__Veillonella","g__Veillonella","anaerobic","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella"
"OTU_97.10032","OTU9710032","OTU_97.10032|g__Prevotella","g__Prevotella","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"
"OTU_97.10040","OTU9710040","OTU_97.10040|g__Prevotella","g__Prevotella","anaerobic","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"
"OTU_97.10045","OTU9710045","OTU_97.10045|g__Actinomyces","g__Actinomyces","anaerobic","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces"
