body_subsite	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque
Sample	700103497	700103496	700106940	700106939	700097304	700097303	700099015	700099014	700097644	700097643	700097247	700097246	700099072	700099071	700095366	700095365	700099603	700099602	700098372	700098371	700098280	700098279	700015284	700015281	700014992	700014989	700100240	700100239	700015660	700015657	700099759	700099758	700016353	700016352	700016308	700016307	700102918	700102917	700102255	700102254	700102598	700102597	700033018	700033015	700101651	700101650	700033475	700033472	700033739	700033738	700033143	700033142	700096603	700096602	700108297	700108296	700109330	700109329	700096280	700096279	700095969	700095968	700109820	700109819	700108486	700108485	700108795	700108794	700108051	700108050	700107829	700107828	700110234	700110233	700109462	700109461	700105048	700105047	700106711	700106710	700106561	700106560	700110168	700110167	700114177	700114176	700110600	700110599	700111518	700111517	700110657	700110656	700038966	700038965	700109396	700109395	700105790	700105789	700038588	700038587	700111824	700111823	700111452	700111451	700105982	700105981	700110714	700110713	700038751	700038750	700106405	700106406	700106503	700106502	700110432	700110431	700105163	700105162	700109243	700109242	700105476	700105475	700110366	700110365	700105932	700105931	700105892	700105891	700103288	700103287	700111039	700111038	700106075	700106074	700114010	700114009	700024459	700024458	700105676	700105675	700038492	700038491	700105844	700105843	700105410	700105409	700038020	700038019	700114285	700114284	700038693	700038692	700113494	700113493	700023814	700023813	700105220	700105219	700114115	700114114	700103440	700103439	700038540	700038539	700114606	700114605	700023446	700023445	700023934	700023933	700024507	700024506	700023652	700023651	700037549	700037548	700023871	700023870	700106009	700106008	700024147	700024146	700024200	700024199	700037445	700037444	700024603	700024602	700113560	700113559	700024797	700024796	700113111	700113110	700024306	700024305	700024699	700024698	700024750	700024749	700024864	700024863	700038223	700038222	700113023	700113022	700106867	700106866	700113065	700113064	700038353	700038352	700037133	700037132	700037697	700037696	700105579	700105578	700114339	700114338	700110825	700110824	700103573	700103572	700110300	700110299	700111587	700111586	700109120	700109119
OTU9710005	115.874855156431	0	0	0	0	0	0	0	0	0	0	211.864406779661	0	791.765637371338	0	0	0	0	0	922.722029988466	300.932891965092	0	0	0	0	0	1755.07020280811	3133.39301700985	404.612583451345	0	919.963201471941	524.658971668416	0	0	0	0	234.741784037559	0	0	0	0	0	751.201923076923	613.120784794605	316.455696202532	3967.20444326898	0	0	281.214848143982	201.67389331451	1316.13582521716	345.482812230092	0	0	0	0	2322.88037166086	707.714083510262	463.39202965709	0	3293.80764163373	973.709834469328	1308.90052356021	2957.85062854326	409.50040950041	0	1177.85630153121	701.016473887136	747.94315632012	0	0	0	0	1076.42626480086	0	0	0	0	222.074172773706	0	0	225.428313796213	0	0	1672.24080267559	0	0	0	0	0	3367.87564766839	0	368.351259761308	0	3987.24082934609	1365.18771331058	0	0	0	0	15723.2704402516	10604.4538706257	573.065902578797	0	0	1429.18393597256	1546.43864277267	402.090872537193	0	0	0	0	0	200.682319887618	3891.05058365759	752.688172043011	4864.13955048641	4788.50758180367	0	0	157.604412923562	0	3211.99143468951	1580.17298735862	0	414.07867494824	389.408099688473	0	174.094707520891	226.91173133651	0	0	208.463623097769	127.828198900678	0	0	0	0	0	0	0	0	0	0	1123.34306897326	0	0	0	0	1057.08245243129	755.972180223768	496.376451901122	0	0	223.313979455114	478.08764940239	0	146.09203798393	332.502078137988	358.615743231128	895.255147717099	2576.62055871983	0	137.475941710201	297.796307325789	0	435.161009573542	1061.08837350311	1635.89623743865	2736.63876368319	0	0	0	0	150.579731968077	0	315.258511979823	2401.92153722978	0	365.764447695684	0	0	308.737264587836	547.645125958379	2725.78593494458	3544.23733263324	165.727543917799	0	205.044084478163	0	0	0	0	2174.96375060416	344.47123665174	0	0	218.292949137743	183.48623853211	0	180.34265103697	216.919739696312	413.907284768212	0	0	0	603.500301750151	0	0	0	0	0	5947.32370433305	5766.24528720337	0	0	635.930047694754	0	75.3749905781262	225.479143179256	0	0	408.052230685528	71.0732054015636	3387.53387533875	8440.91360476663	0	0	556.173526140156	865.051903114187
OTU9710006	15179.6060254925	28875.9023719491	11341.3304252999	9067.76964683423	0	445.930880713489	400	357.78175313059	0	509.813917919959	0	211.864406779661	0	0	377.928949357521	1069.23282544774	0	0	0	0	0	0	1317.52305665349	738.770685579196	1409.9400775467	1731.76832788147	0	0	404.612583451345	587.314017227878	459.981600735971	786.988457502623	2944.32548179872	4023.66863905325	6008.01068090788	7268.0632749038	0	0	0	0	0	0	10667.0673076923	14919.272430002	0	0	2999.68424376381	1297.91468374146	3515.18560179978	3125.94534637491	263.227165043432	345.482812230092	820.568927789934	0	0	137.00506918756	1161.44018583043	1415.42816702052	0	829.187396351575	0	0	0	492.97510475721	409.50040950041	1714.77565018577	1177.85630153121	2103.04942166141	0	0	1259.44584382872	3917.7277179236	2341.92037470726	1794.0437746681	0	863.238377111851	20930.2325581395	14170.4982286877	444.148345547413	2693.60269360269	0	6762.84941388638	0	0	1911.13234591495	2318.84057971014	0	1693.48010160881	0	1451.37880986938	259.067357512953	0	31530.867835568	25356.1041091804	0	0	6003.75234521576	25261.3240418118	4791.10770410119	11586.7619510164	0	4241.78154825027	0	0	2727.41857853361	142.918393597256	272.900936959884	402.090872537193	26635.5918095555	26561.6413262502	4619.44566652002	5094.24350483953	778.210116731518	2608.87015853903	0	107.52688172043	11070.110701107	5187.54988028731	0	371.47102526003	2206.46178092987	2817.81727538745	107.066381156317	83.166999334664	426.075841499787	2070.3933747412	7398.753894081	10744.7202667655	23850.9749303621	13614.7038801906	2109.70464135021	1293.66106080207	6879.29956222639	3834.84596702032	547.545172476729	5228.53769607016	7146.33750203021	5794.39252336449	719.769673704415	403.958796202787	8650.51903114187	4864.95554437175	5100.90929252606	1213.34681496461	5841.38395866097	17666.3927691044	4532.99599409656	3603.6036036036	3715.9372419488	4756.8710359408	982.763834290898	9431.15258612131	0	3559.62369692347	3126.39571237159	4621.51394422311	0	292.18407596786	332.502078137988	1075.84722969338	179.05102954342	542.4464334147	10014.7758988672	4399.23013472642	1786.77784395473	1320.13201320132	2465.91238758341	2273.7608003638	3038.09301238607	20605.2801030264	1266.96832579186	2454.59008345606	1223.99020807834	3087.88598574822	752.898659840385	936.183491964425	11349.3064312736	2668.80170803309	713.775874375446	365.764447695684	5219.9850857569	1372.78828553996	617.474529175671	1369.11281489595	27621.297474105	10763.9800472565	10440.8352668213	14729.512587038	1845.39676030347	872.219799389446	10958.904109589	9343.29951948745	1423.48754448399	4833.25277912035	5856.01102307957	854.26277122843	1440.92219020173	1309.75769482646	917.431192660551	3770.73906485671	8836.78990081154	2386.11713665944	1241.72185430464	3369.62156557802	11466.2112710417	4790.6686107061	1659.62582981291	2603.03687635575	10293.1304542403	6186.98441796517	1176.00940807526	3428.11050615043	1359.38827527613	1996.00798403194	7447.66505636071	7360.45798405234	2225.75516693164	4168.71015203531	1281.37483982815	0	1828.15356489945	0	6936.88792165397	6965.17412935323	7452.57452574526	993.04865938431	0	0	1112.34705228031	0
OTU9710007	0	0	218.102508178844	0	0	0	0	0	0	0	0	0	0	0	188.96447467876	0	0	0	0	0	0	0	0	0	0	0	0	0	404.612583451345	391.542678151919	0	0	0	0	0	0	0	0	0	0	229.200091680037	0	0	408.74718986307	0	0	0	0	140.607424071991	0	263.227165043432	0	273.522975929978	0	0	68.50253459378	0	707.714083510262	0	0	0	2434.27458617332	0	246.487552378605	0	0	1177.85630153121	1051.5247108307	0	0	0	0	0	0	0	0	0	75.3749905781262	0	134.680134680135	0	0	0	0	0	0	0	0	0	0	518.134715025907	891.26559714795	73.6702519522617	0	0	0	0	0	0	69.3818080899188	0	2120.89077412513	0	2790.6976744186	0	0	0	0	0	0	0	0	0	0	0	0	167.728950016773	0	0	371.47102526003	0	0	107.066381156317	0	0	0	0	0	0	0	0	0	0	0	182.515057492243	168.662506324844	81.2083807048887	93.4579439252336	239.923224568138	201.979398101394	0	0	0	202.224469160768	0	0	0	0	0	0	0	0	0	254.258835494533	0	159.362549800797	0	0	0	0	0	0	0	0	297.796307325789	0	0	0	0	0	0	0	244.798041615667	0	0	0	0	0	0	0	0	0	0	273.822562979189	0	0	0	0	0	0	0	0	0	0	0	170.852554245686	0	0	0	0	180.34265103697	0	0	0	0	0	301.750150875075	578.452639190166	0	0	3332.02665621325	2621.49626940916	0	0	0	204.457166223676	0	0	75.3749905781262	0	0	0	0	0	0	0	0	0	0	865.051903114187
OTU9710081	0	0	0	0	1649.48453608247	0	0	0	77.5133710565072	0	0	0	2941.17647058824	0	5291.00529100529	0	1205.18228382043	0	0	0	601.865783930184	787.773751378604	146.391450739277	295.508274231678	1586.18258724004	192.418703097941	0	0	1416.14404207971	195.771339075959	919.963201471941	0	2944.32548179872	1183.43195266272	1335.11348464619	641.299700726806	0	0	359.066427289048	1777.77777777778	12376.804950722	1207.72946859903	300.480769230769	0	0	0	315.756236185665	173.055291165527	0	0	1052.90866017373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2518.89168765743	0	7025.76112412178	358.80875493362	0	0	193.798449612403	0	444.148345547413	0	0	225.428313796213	0	0	238.891543239369	0	0	0	0	0	0	0	515.691763665832	0	0	0	375.234521575985	290.360046457607	191.644308164048	69.3818080899188	0	0	1146.13180515759	0	0	0	90.9669789866279	0	0	0	0	0	311.284046692607	0	311.284046692607	0	2180.47635021805	0	0	0	157.604412923562	0	0	0	1278.22752449936	0	0	0	0	0	6329.11392405063	0	0	0	182.515057492243	0	162.416761409777	0	2879.07869481766	605.938194304181	314.564328405159	0	443.557329784875	0	0	0	210.837022981235	0	1651.52766308836	0	2267.9165406713	99.2752903802244	0	0	223.313979455114	0	0	0	498.753117206982	0	2685.7654431513	271.22321670735	492.52996223937	549.903766840803	1191.18522930316	0	145.053669857847	909.504320145521	0	0	1085.97285067873	0	0	0	1204.63785574462	0	0	0	1427.55174875089	0	0	0	0	0	0	0	3314.55087835598	0	615.132253434488	0	0	0	0	724.987916868052	2066.82741991044	170.852554245686	205.846027171676	0	0	0	721.370604147881	0	0	259.201658890617	0	208.289939595918	0	0	0	0	196.001568012544	0	0	0	0	0	953.89507154213	0	75.3749905781262	0	0	0	0	0	0	0	0	0	0	0
OTU9710093	0	0	0	0	0	0	400	0	0	0	0	211.864406779661	0	791.765637371338	0	0	0	0	0	0	902.798675895275	157.554750275721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359.066427289048	444.444444444444	0	0	0	0	0	264.480296217932	0	0	421.822272215973	100.836946657255	0	86.3707030575229	0	0	0	0	1161.44018583043	707.714083510262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.644308164048	69.3818080899188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.52114924182	0	0	0	0	0	0	0	0	0	123.502531801902	174.094707520891	0	0	0	416.927246195539	255.656397801355	730.060229968972	168.662506324844	0	0	0	201.979398101394	0	0	0	202.224469160768	0	0	0	0	0	0	0	0	0	0	0	0	235.128144838937	0	1163.75727348296	537.923614846692	1969.56132497762	678.058041768375	0	137.475941710201	297.796307325789	0	0	151.584053357587	0	0	180.995475113122	163.639338897071	0	0	0	0	0	0	356.887937187723	365.764447695684	0	0	308.737264587836	273.822562979189	0	0	0	0	205.044084478163	436.109899694723	0	0	0	0	688.942473303479	0	0	0	0	0	0	0	827.814569536424	0	0	0	0	0	0	0	0	201.65355918532	0	0	0	0	317.965023847377	0	0	0	0	1805.05415162455	0	497.512437810945	0	0	0	0	0	0
OTU9710103	0	1031.28222756961	0	0	0	0	0	0	77.5133710565072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404.612583451345	195.771339075959	0	524.658971668416	0	0	222.518914107699	213.766566908935	0	0	179.533213644524	444.444444444444	0	0	0	0	0	264.480296217932	0	86.5276455827637	140.607424071991	0	789.681495130297	172.741406115046	0	0	0	0	0	0	0	0	0	486.854917234664	0	0	409.50040950041	0	0	0	0	0	0	0	0	0	0	0	193.798449612403	0	0	0	0	0	0	0	477.783086478739	289.855072463768	0	0	0	0	0	0	0	0	797.448165869219	0	0	871.080139372822	0	0	0	0	0	0	160.436386972565	0	0	0	0	0	0	0	0	0	0	430.10752688172	0	0	634.115409004439	0	0	0	1713.06209850107	1663.33998669328	0	0	0	247.005063603804	0	0	0	0	0	0	0	0	0	0	479.846449136276	201.979398101394	0	0	221.778664892437	202.224469160768	0	0	0	0	0	528.541226215645	226.79165406713	496.376451901122	0	0	0	0	0	438.27611395179	166.251039068994	0	0	0	0	137.475941710201	0	0	145.053669857847	151.584053357587	0	0	180.995475113122	0	0	0	0	0	630.517023959647	1334.40085401655	0	0	0	0	0	821.467688937568	1453.75249863711	393.80414807036	0	0	0	0	0	533.902829684997	0	0	0	0	0	0	0	0	0	433.839479392625	0	0	0	0	150.875075437538	0	0	0	0	0	169.923534409516	0	0	0	953.89507154213	0	75.3749905781262	0	0	3610.1083032491	136.017410228509	71.0732054015636	0	0	0	0	0	0
OTU9710111	0	0	0	0	0	0	400	357.78175313059	77.5133710565072	0	0	423.728813559322	0	0	0	0	0	0	0	0	0	315.109500551442	146.391450739277	0	176.242509693338	0	975.039001560062	0	0	0	229.990800367985	0	0	946.745562130178	445.037828215398	427.533133817871	469.483568075117	384.467512495194	718.132854578097	0	687.60027504011	0	0	0	0	264.480296217932	0	432.638227913818	281.214848143982	0	0	86.3707030575229	0	0	0	0	0	0	0	0	0	0	0	246.487552378605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.428313796213	0	1240.69478908189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.065902578797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.52114924182	0	0	157.604412923562	216.755175029804	0	0	0	276.052449965493	0	123.502531801902	522.284122562674	680.73519400953	0	0	0	0	0	0	162.416761409777	280.373831775701	239.923224568138	0	0	0	0	0	0	0	0	0	0	0	75.5972180223768	0	0	254.258835494533	0	0	0	146.09203798393	166.251039068994	0	179.05102954342	0	0	0	297.796307325789	0	145.053669857847	0	0	0	0	163.639338897071	0	0	0	156.030581994071	0	0	356.887937187723	0	0	0	0	0	0	262.536098713573	0	0	615.132253434488	0	0	0	355.871886120996	0	344.47123665174	0	0	0	0	0	0	0	0	0	0	0	0	144.613159797542	0	0	0	0	0	0	0	0	317.965023847377	490.436488474743	0	0	0	0	136.017410228509	71.0732054015636	0	0	1398.6013986014	0	0	0
OTU9710115	0	0	0	0	0	0	0	357.78175313059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352.485019386676	769.674812391764	0	0	0	978.856695379796	0	0	0	0	0	855.066267635742	0	0	0	0	0	0	0	0	316.455696202532	0	0	259.582936748291	281.214848143982	403.347786629021	263.227165043432	518.224218345137	0	0	0	0	0	707.714083510262	0	0	1317.52305665349	1460.56475170399	0	1725.41286665023	0	0	1177.85630153121	350.508236943568	0	3802.28136882129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.644308164048	69.3818080899188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634.115409004439	0	0	0	535.331905781585	3243.5129740519	0	0	0	0	174.094707520891	0	0	0	0	766.969193404065	730.060229968972	0	81.2083807048887	0	0	0	0	0	0	202.224469160768	449.337227589306	0	0	0	0	264.270613107822	0	0	0	0	0	0	470.256289677874	0	332.502078137988	1075.84722969338	358.10205908684	678.058041768375	0	0	2084.57415128052	2640.26402640264	3191.18073687264	1061.08837350311	0	160.978750804894	0	163.639338897071	0	0	0	0	0	0	713.775874375446	731.528895391368	0	0	617.474529175671	821.467688937568	363.438124659277	131.268049356787	0	0	410.088168956326	1962.49454862625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.923534409516	0	0	0	0	0	0	0	0	0	272.034820457018	1350.39090262971	677.506775067751	0	0	0	0	0
OTU9710128	115.874855156431	0	436.205016357688	0	0	0	0	357.78175313059	0	0	0	0	0	0	0	267.308206361935	0	0	0	0	0	0	146.391450739277	0	176.242509693338	192.418703097941	195.007800312012	0	202.306291725673	195.771339075959	0	262.329485834208	267.665952890792	0	0	427.533133817871	0	0	0	0	0	0	0	408.74718986307	0	0	0	0	140.607424071991	0	0	86.3707030575229	547.045951859956	627.746390458255	0	0	1161.44018583043	0	0	829.187396351575	0	0	0	492.97510475721	0	285.795941697628	0	1402.03294777427	0	0	0	0	0	1076.42626480086	0	123.319768158836	0	75.3749905781262	0	0	0	0	0	0	0	0	892.857142857143	423.370025402202	0	1451.37880986938	259.067357512953	0	221.010755856785	298.307107166828	0	0	0	0	0	208.145424269756	0	1060.44538706257	0	0	0	0	363.867915946511	0	0	183.183733284484	0	0	0	0	311.284046692607	0	0	0	0	371.47102526003	0	0	0	0	0	0	0	123.502531801902	0	0	2109.70464135021	0	208.463623097769	0	0	0	162.416761409777	93.4579439252336	0	0	0	0	0	0	0	410.846343467543	105.418511490618	90.0900900900901	0	0	0	297.825871140673	0	0	223.313979455114	0	0	0	0	179.307871615564	0	0	0	0	0	0	145.053669857847	0	0	0	0	0	0	0	150.579731968077	0	0	0	0	0	0	0	0	0	0	0	165.727543917799	2142.47455811462	0	0	0	0	355.871886120996	0	0	0	0	0	0	0	0	0	0	259.201658890617	243.961941937058	208.289939595918	0	144.613159797542	0	0	0	201.65355918532	0	0	0	0	0	0	150.749981156252	0	0	0	136.017410228509	0	0	0	1398.6013986014	0	0	0
